식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-1256,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1260,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1263,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1268,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1269,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1270,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1271,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1272,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1273,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1274,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1275,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1276,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1277,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1278,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1284,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1286,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1287,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1288,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1289,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1290,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1293,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1294,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1296,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1297,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1298,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1299,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1300,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1304,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1311,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1312,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1314,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1315,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1316,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1317,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1318,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1319,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1320,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1321,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1322,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1323,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1324,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1327,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1330,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1332,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1334,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1335,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1338,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1341,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1359,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1361,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1364,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1366,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1369,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1370,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1372,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1373,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1374,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1375,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1380,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1385,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1386,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1387,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1389,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1392,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1395,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1400,,Y,Y,,,"OS, P"
ISM-1401,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1402,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1403,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1404,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1405,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1406,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1407,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1408,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1409,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1412,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1416,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1417,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1418,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1419,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1420,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1422,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1424,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1427,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
