식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-1703,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1704,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1705,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1706,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1707,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1708,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1710,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1711,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1712,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1713,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1717,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1718,,,,Y,,S
ISM-1719,,,,,Y,TS
ISM-1720,,,,Y,,S
ISM-1721,,,,,Y,TS
ISM-1722,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1723,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1724,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1725,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1726,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1727,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1728,,,,Y,,S
ISM-1729,,,,,Y,TS
ISM-1730,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1731,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1732,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1735,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1736,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1737,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1738,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1739,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1740,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1741,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1742,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
