식별번호,통제군,유형,LOW,MODERATE,HIGH,베이스라인 해당여부
sc-5.2,SC,enhancement,,,,none
sc-5.3,SC,enhancement,,,,none
sc-6,SC,base,,,,none
sc-7,SC,base,Y,Y,Y,LMH
sc-7.1,SC,enhancement,,,,none
sc-7.2,SC,enhancement,,,,none
sc-7.3,SC,enhancement,,Y,Y,MH
sc-7.4,SC,enhancement,,Y,Y,MH
sc-7.5,SC,enhancement,,Y,Y,MH
sc-7.6,SC,enhancement,,,,none
sc-7.7,SC,enhancement,,Y,Y,MH
sc-7.8,SC,enhancement,,Y,Y,MH
sc-7.9,SC,enhancement,,,,none
sc-7.10,SC,enhancement,,,,none
sc-7.11,SC,enhancement,,,,none
sc-7.12,SC,enhancement,,,,none
sc-7.13,SC,enhancement,,,,none
sc-7.14,SC,enhancement,,,,none
sc-7.15,SC,enhancement,,,,none
sc-7.16,SC,enhancement,,,,none
sc-7.17,SC,enhancement,,,,none
sc-7.18,SC,enhancement,,,Y,H
sc-7.19,SC,enhancement,,,,none
sc-7.20,SC,enhancement,,,,none
sc-7.21,SC,enhancement,,,Y,H
sc-7.22,SC,enhancement,,,,none
sc-7.23,SC,enhancement,,,,none
sc-7.24,SC,enhancement,,,,none
sc-7.25,SC,enhancement,,,,none
sc-7.26,SC,enhancement,,,,none
sc-7.27,SC,enhancement,,,,none
sc-7.28,SC,enhancement,,,,none
sc-7.29,SC,enhancement,,,,none
sc-8,SC,base,,Y,Y,MH
sc-8.1,SC,enhancement,,Y,Y,MH
sc-8.2,SC,enhancement,,,,none
sc-8.3,SC,enhancement,,,,none
sc-8.4,SC,enhancement,,,,none
sc-8.5,SC,enhancement,,,,none
sc-9,SC,base,,,,none
sc-10,SC,base,,Y,Y,MH
sc-11,SC,base,,,,none
sc-11.1,SC,enhancement,,,,none
sc-12,SC,base,Y,Y,Y,LMH
sc-12.1,SC,enhancement,,,Y,H
sc-12.2,SC,enhancement,,,,none
sc-12.3,SC,enhancement,,,,none
sc-12.4,SC,enhancement,,,,none
sc-12.5,SC,enhancement,,,,none
sc-12.6,SC,enhancement,,,,none
sc-13,SC,base,Y,Y,Y,LMH
sc-13.1,SC,enhancement,,,,none
sc-13.2,SC,enhancement,,,,none
sc-13.3,SC,enhancement,,,,none
sc-13.4,SC,enhancement,,,,none
sc-14,SC,base,,,,none
sc-15,SC,base,Y,Y,Y,LMH
sc-15.1,SC,enhancement,,,,none
sc-15.2,SC,enhancement,,,,none
sc-15.3,SC,enhancement,,,,none
sc-15.4,SC,enhancement,,,,none
sc-16,SC,base,,,,none
sc-16.1,SC,enhancement,,,,none
sc-16.2,SC,enhancement,,,,none
sc-16.3,SC,enhancement,,,,none
sc-17,SC,base,,Y,Y,MH
sc-18,SC,base,,Y,Y,MH
sc-18.1,SC,enhancement,,,,none
sc-18.2,SC,enhancement,,,,none
sc-18.3,SC,enhancement,,,,none
sc-18.4,SC,enhancement,,,,none
sc-18.5,SC,enhancement,,,,none
sc-19,SC,base,,,,none
sc-20,SC,base,Y,Y,Y,LMH
sc-20.1,SC,enhancement,,,,none
sc-20.2,SC,enhancement,,,,none
sc-21,SC,base,Y,Y,Y,LMH
sc-21.1,SC,enhancement,,,,none
sc-22,SC,base,Y,Y,Y,LMH
sc-23,SC,base,,Y,Y,MH
sc-23.1,SC,enhancement,,,,none
sc-23.2,SC,enhancement,,,,none
sc-23.3,SC,enhancement,,,,none
sc-23.4,SC,enhancement,,,,none
sc-23.5,SC,enhancement,,,,none
sc-24,SC,base,,,Y,H
sc-25,SC,base,,,,none
sc-26,SC,base,,,,none
sc-26.1,SC,enhancement,,,,none
sc-27,SC,base,,,,none
sc-28,SC,base,,Y,Y,MH
sc-28.1,SC,enhancement,,Y,Y,MH
sc-28.2,SC,enhancement,,,,none
sc-28.3,SC,enhancement,,,,none
sc-29,SC,base,,,,none
sc-29.1,SC,enhancement,,,,none
sc-30,SC,base,,,,none
sc-30.1,SC,enhancement,,,,none
sc-30.2,SC,enhancement,,,,none
sc-30.3,SC,enhancement,,,,none
sc-30.4,SC,enhancement,,,,none
sc-30.5,SC,enhancement,,,,none
sc-31,SC,base,,,,none
sc-31.1,SC,enhancement,,,,none
sc-31.2,SC,enhancement,,,,none
sc-31.3,SC,enhancement,,,,none
sc-32,SC,base,,,,none
sc-32.1,SC,enhancement,,,,none
sc-33,SC,base,,,,none
sc-34,SC,base,,,,none
sc-34.1,SC,enhancement,,,,none
sc-34.2,SC,enhancement,,,,none
sc-34.3,SC,enhancement,,,,none
sc-35,SC,base,,,,none
sc-36,SC,base,,,,none
sc-36.1,SC,enhancement,,,,none
sc-36.2,SC,enhancement,,,,none
sc-37,SC,base,,,,none
sc-37.1,SC,enhancement,,,,none
sc-38,SC,base,,,,none
sc-39,SC,base,Y,Y,Y,LMH
sc-39.1,SC,enhancement,,,,none
sc-39.2,SC,enhancement,,,,none
sc-40,SC,base,,,,none
sc-40.1,SC,enhancement,,,,none
sc-40.2,SC,enhancement,,,,none
sc-40.3,SC,enhancement,,,,none
sc-40.4,SC,enhancement,,,,none
sc-41,SC,base,,,,none
sc-42,SC,base,,,,none
sc-42.1,SC,enhancement,,,,none
sc-42.2,SC,enhancement,,,,none
sc-42.3,SC,enhancement,,,,none
sc-42.4,SC,enhancement,,,,none
sc-42.5,SC,enhancement,,,,none
sc-43,SC,base,,,,none
sc-44,SC,base,,,,none
sc-45,SC,base,,,,none
sc-45.1,SC,enhancement,,,,none
sc-45.2,SC,enhancement,,,,none
sc-46,SC,base,,,,none
sc-47,SC,base,,,,none
sc-48,SC,base,,,,none
sc-48.1,SC,enhancement,,,,none
sc-49,SC,base,,,,none
sc-50,SC,base,,,,none
sc-51,SC,base,,,,none
si-1,SI,base,Y,Y,Y,LMH
si-2,SI,base,Y,Y,Y,LMH
si-2.1,SI,enhancement,,,,none
si-2.2,SI,enhancement,,Y,Y,MH
si-2.3,SI,enhancement,,,,none
si-2.4,SI,enhancement,,,,none
si-2.5,SI,enhancement,,,,none
si-2.6,SI,enhancement,,,,none
si-2.7,SI,enhancement,,,,none
si-3,SI,base,Y,Y,Y,LMH
si-3.1,SI,enhancement,,,,none
si-3.2,SI,enhancement,,,,none
si-3.3,SI,enhancement,,,,none
si-3.4,SI,enhancement,,,,none
si-3.5,SI,enhancement,,,,none
si-3.6,SI,enhancement,,,,none
si-3.7,SI,enhancement,,,,none
si-3.8,SI,enhancement,,,,none
si-3.9,SI,enhancement,,,,none
si-3.10,SI,enhancement,,,,none
si-4,SI,base,Y,Y,Y,LMH
si-4.1,SI,enhancement,,,,none
si-4.2,SI,enhancement,,Y,Y,MH
si-4.3,SI,enhancement,,,,none
si-4.4,SI,enhancement,,Y,Y,MH
si-4.5,SI,enhancement,,Y,Y,MH
si-4.6,SI,enhancement,,,,none
si-4.7,SI,enhancement,,,,none
si-4.8,SI,enhancement,,,,none
si-4.9,SI,enhancement,,,,none
si-4.10,SI,enhancement,,,Y,H
si-4.11,SI,enhancement,,,,none
si-4.12,SI,enhancement,,,Y,H
si-4.13,SI,enhancement,,,,none
si-4.14,SI,enhancement,,,Y,H
si-4.15,SI,enhancement,,,,none
si-4.16,SI,enhancement,,,,none
si-4.17,SI,enhancement,,,,none
si-4.18,SI,enhancement,,,,none
si-4.19,SI,enhancement,,,,none
si-4.20,SI,enhancement,,,Y,H
si-4.21,SI,enhancement,,,,none
si-4.22,SI,enhancement,,,Y,H
si-4.23,SI,enhancement,,,,none
si-4.24,SI,enhancement,,,,none
si-4.25,SI,enhancement,,,,none
si-5,SI,base,Y,Y,Y,LMH
si-5.1,SI,enhancement,,,Y,H
si-6,SI,base,,,Y,H
si-6.1,SI,enhancement,,,,none
si-6.2,SI,enhancement,,,,none
si-6.3,SI,enhancement,,,,none
si-7,SI,base,,Y,Y,MH
si-7.1,SI,enhancement,,Y,Y,MH
si-7.2,SI,enhancement,,,Y,H
si-7.3,SI,enhancement,,,,none
si-7.4,SI,enhancement,,,,none
si-7.5,SI,enhancement,,,Y,H
si-7.6,SI,enhancement,,,,none
si-7.7,SI,enhancement,,Y,Y,MH
si-7.8,SI,enhancement,,,,none
si-7.9,SI,enhancement,,,,none
si-7.10,SI,enhancement,,,,none
si-7.11,SI,enhancement,,,,none
si-7.12,SI,enhancement,,,,none
si-7.13,SI,enhancement,,,,none
si-7.14,SI,enhancement,,,,none
si-7.15,SI,enhancement,,,Y,H
si-7.16,SI,enhancement,,,,none
si-7.17,SI,enhancement,,,,none
si-8,SI,base,,Y,Y,MH
si-8.1,SI,enhancement,,,,none
si-8.2,SI,enhancement,,Y,Y,MH
si-8.3,SI,enhancement,,,,none
si-9,SI,base,,,,none
si-10,SI,base,,Y,Y,MH
si-10.1,SI,enhancement,,,,none
si-10.2,SI,enhancement,,,,none
si-10.3,SI,enhancement,,,,none
si-10.4,SI,enhancement,,,,none
si-10.5,SI,enhancement,,,,none
si-10.6,SI,enhancement,,,,none
si-11,SI,base,,Y,Y,MH
si-12,SI,base,Y,Y,Y,LMH
si-12.1,SI,enhancement,,,,none
si-12.2,SI,enhancement,,,,none
si-12.3,SI,enhancement,,,,none
si-13,SI,base,,,,none
si-13.1,SI,enhancement,,,,none
si-13.2,SI,enhancement,,,,none
si-13.3,SI,enhancement,,,,none
si-13.4,SI,enhancement,,,,none
si-13.5,SI,enhancement,,,,none
si-14,SI,base,,,,none
si-14.1,SI,enhancement,,,,none
si-14.2,SI,enhancement,,,,none
si-14.3,SI,enhancement,,,,none
si-15,SI,base,,,,none
si-16,SI,base,,Y,Y,MH
si-17,SI,base,,,,none
si-18,SI,base,,,,none
si-18.1,SI,enhancement,,,,none
si-18.2,SI,enhancement,,,,none
si-18.3,SI,enhancement,,,,none
si-18.4,SI,enhancement,,,,none
si-18.5,SI,enhancement,,,,none
si-19,SI,base,,,,none
si-19.1,SI,enhancement,,,,none
si-19.2,SI,enhancement,,,,none
si-19.3,SI,enhancement,,,,none
si-19.4,SI,enhancement,,,,none
si-19.5,SI,enhancement,,,,none
si-19.6,SI,enhancement,,,,none
si-19.7,SI,enhancement,,,,none
si-19.8,SI,enhancement,,,,none
si-20,SI,base,,,,none
si-21,SI,base,,,,none
si-22,SI,base,,,,none
si-23,SI,base,,,,none
sr-1,SR,base,Y,Y,Y,LMH
sr-2,SR,base,Y,Y,Y,LMH
sr-2.1,SR,enhancement,Y,Y,Y,LMH
sr-3,SR,base,Y,Y,Y,LMH
sr-3.1,SR,enhancement,,,,none
sr-3.2,SR,enhancement,,,,none
sr-3.3,SR,enhancement,,,,none
sr-4,SR,base,,,,none
sr-4.1,SR,enhancement,,,,none
sr-4.2,SR,enhancement,,,,none
sr-4.3,SR,enhancement,,,,none
sr-4.4,SR,enhancement,,,,none
sr-5,SR,base,Y,Y,Y,LMH
sr-5.1,SR,enhancement,,,,none
sr-5.2,SR,enhancement,,,,none
sr-6,SR,base,,Y,Y,MH
sr-6.1,SR,enhancement,,,,none
sr-7,SR,base,,,,none
sr-8,SR,base,Y,Y,Y,LMH
sr-9,SR,base,,,Y,H
sr-9.1,SR,enhancement,,,Y,H
sr-10,SR,base,Y,Y,Y,LMH
sr-11,SR,base,Y,Y,Y,LMH
sr-11.1,SR,enhancement,Y,Y,Y,LMH
sr-11.2,SR,enhancement,Y,Y,Y,LMH
sr-11.3,SR,enhancement,,,,none
sr-12,SR,base,Y,Y,Y,LMH
